"Name","PipeSize","PipeSize1","Schedule","L","M","M1","N","Approx. Wt.","POD","PID","POD1","PID1"
"429-003","3/8""","3/8""",40,"2+5/8 in","7/8 in","7/8 in","1/8 in",".03 lb","0.675 in","0.473 in","0.675 in","0.473 in"
"429-005","1/2""","1/2""",40,"1+19/32 in","1+3/32 in","1+3/32 in","3/32 in",".03 lb","0.840 in","0.602 in","0.840 in","0.602 in"
"429-005N","1/2""","1/2""",40,"1+5/8 in","1+1/16 in","1+1/16 in","3/32 in",".02 lb","0.840 in","0.602 in","0.840 in","0.602 in"
"429-007","3/4""","3/4""",40,"2+3/32 in","1+5/16 in","1+5/16 in","3/32 in",".05 lb","1.050 in","0.804 in","1.050 in","0.804 in"
"429-007N","3/4""","3/4""",40,"2+3/32 in","1+5/16 in","1+5/16 in","3/32 in",".05 lb","1.050 in","0.804 in","1.050 in","0.804 in"
"429-010","1""","1""",40,"2+1/8 in","1+19/32 in","1+19/32 in","1/8 in",".07 lb","1.315 in","1.029 in","1.315 in","1.029 in"
"429-010N","1""","1""",40,"2+11/32 in","1+21/32 in","1+21/32 in","3/32 in",".10 lb","1.315 in","1.029 in","1.315 in","1.029 in"
"429-012","1-1/4""","1-1/4""",40,"2+11/32 in","1+31/32 in","1+31/32 in","3/32 in",".11 lb","1.660 in","1.360 in","1.660 in","1.360 in"
"429-015","1-1/2""","1-1/2""",40,"2+5/8 in","2+7/32 in","2+7/32 in","1/16 in",".13 lb","1.900 in","1.590 in","1.900 in","1.590 in"
"429-020","2""","2""",40,"2+7/8 in","2+3/4 in","2+3/4 in","3/32 in",".21 lb","2.375 in","2.047 in","2.375 in","2.047 in"
"429-025","2-1/2""","2-1/2""",40,"3+3/4 in","3+5/16 in","3+5/16 in","3/16 in",".41 lb","2.875 in","2.445 in","2.875 in","2.445 in"
"429-030","3""","3""",40,"3+31/32 in","4 in","4 in","3/16 in",".57 lb","3.500 in","3.042 in","3.500 in","3.042 in"
"429-040","4""","4""",40,"4+1/4 in","5+1/32 in","5+1/32 in","3/16 in",".85 lb","4.500 in","3.998 in","4.500 in","3.998 in"
"429-050","5""","5""",40,"6+3/16 in","6+1/8 in","6+1/8 in","3/16 in","1.67 lb","5.563 in","5.016 in","5.563 in","5.016 in"
"429-060","6""","6""",40,"6+5/16 in","7+1/4 in","7+1/4 in","1/4 in","2.11 lb","6.625 in","6.031 in","6.625 in","6.031 in"
"429-080","8""","8""",40,"8+11/32 in","9+11/32 in","9+11/32 in","1/4 in","4.22 lb","8.625 in","7.942 in","8.625 in","7.942 in"
"429-100","10""","10""",40,"10+3/8 in","11+9/16 in","11+9/16 in","15/32 in","7.24 lb","10.750 in","9.976 in","10.750 in","9.976 in"
"429-100F","10""","10""",40,"12+3/8 in","11+1/2 in","11+1/2 in","1+7/8 in","8.16 lb","10.750 in","9.976 in","10.750 in","9.976 in"
"429-120","12""","12""",40,"12+3/8 in","13+21/32 in","13+21/32 in","3/8 in","11.68 lb","12.750 in","11.889 in","12.750 in","11.889 in"
"429-120F","12""","12""",40,"14+3/4 in","13+9/16 in","13+9/16 in","2+1/4 in","13.25 lb","12.750 in","11.889 in","12.750 in","11.889 in"
"479-005N","1/2""","1/2""",40,"2+1/2 in","1+1/16 in","1+1/16 in","3/16 in",".04 lb","0.840 in","0.602 in","0.840 in","0.602 in"
"479-007","3/4""","3/4""",40,"2+7/8 in","1+5/16 in","1+5/16 in","3/32 in",".07 lb","1.050 in","0.804 in","1.050 in","0.804 in"
"479-010","1""","1""",40,"3+5/8 in","1+5/8 in","1+5/8 in","3/32 in",".13 lb","1.315 in","1.029 in","1.315 in","1.029 in"
"479-015","1-1/2""","1-1/2""",40,"4+5/8 in","2+1/4 in","2+1/4 in","1/8 in",".24 lb","1.900 in","1.590 in","1.900 in","1.590 in"
"479-020","2""","2""",40,"5+3/32 in","2+3/4 in","2+3/4 in","3/32 in",".36 lb","2.375 in","2.047 in","2.375 in","2.047 in"
"479-025","2-1/2""","2-1/2""",40,"7+1/2 in","3+5/16 in","3+5/16 in","1/4 in",".79 lb","2.875 in","2.445 in","2.875 in","2.445 in"
"479-030","3""","3""",40,"8 in","4 in","4 in","1/4 in","1.06 lb","3.500 in","3.042 in","3.500 in","3.042 in"
"479-040","4""","4""",40,"8+5/32 in","5 in","5 in","3/16 in","1.51 lb","4.500 in","3.998 in","4.500 in","3.998 in"
"479-060F","6""","6""",40,"12 in","7+3/16 in","7+3/16 in","1+1/2 in","3.72 lb","6.625 in","6.031 in","6.625 in","6.031 in"
"829-002","1/4""","1/4""",80,"1+3/8 in","27/32 in","27/32 in","1/16 in",".02 lb","0.540 in","0.282 in","0.540 in","0.282 in"
"829-003","3/8""","3/8""",80,"1+5/8 in","1 in","1 in","3/32 in",".03 lb","0.675 in","0.403 in","0.675 in","0.403 in"
"829-005","1/2""","1/2""",80,"1+7/8 in","1+3/16 in","1+3/16 in","1/8 in",".05 lb","0.840 in","0.526 in","0.840 in","0.526 in"
"829-007","3/4""","3/4""",80,"2+1/8 in","1+13/32 in","1+13/32 in","1/8 in",".07 lb","1.050 in","0.722 in","1.050 in","0.722 in"
"829-010","1""","1""",80,"2+15/32 in","1+23/32 in","1+23/32 in","3/16 in",".13 lb","1.315 in","0.936 in","1.315 in","0.936 in"
"829-012","1-1/4""","1-1/4""",80,"2+23/32 in","2+7/32 in","2+7/32 in","7/32 in",".22 lb","1.660 in","1.255 in","1.660 in","1.255 in"
"829-015","1-1/2""","1-1/2""",80,"2+7/8 in","2+11/32 in","2+11/32 in","3/32 in",".21 lb","1.900 in","1.476 in","1.900 in","1.476 in"
"829-020","2""","2""",80,"3+1/8 in","2+27/32 in","2+27/32 in","3/32 in",".31 lb","2.375 in","1.913 in","2.375 in","1.913 in"
"829-025","2-1/2""","2-1/2""",80,"3+11/16 in","3+15/32 in","3+15/32 in","1/4 in",".55 lb","2.875 in","2.290 in","2.875 in","2.290 in"
"829-030","3""","3""",80,"3+31/32 in","4+5/32 in","4+5/32 in","3/16 in",".79 lb","3.500 in","2.864 in","3.500 in","2.864 in"
"829-040","4""","4""",80,"4+3/4 in","5+5/16 in","5+5/16 in","1/4 in","1.34 lb","4.500 in","3.786 in","4.500 in","3.786 in"
"829-050","5""","5""",80,"5+21/32 in","6+3/8 in","6+3/8 in","3/16 in","2.06 lb","5.563 in","4.768 in","5.563 in","4.768 in"
"829-050F","5""","5""",80,"7+3/8 in","6+5/16 in","6+5/16 in","1+3/8 in","2.60 lb","5.563 in","4.768 in","5.563 in","4.768 in"
"829-060","6""","6""",80,"6+3/8 in","7+9/16 in","7+9/16 in","1/4 in","3.39 lb","6.625 in","5.709 in","6.625 in","5.709 in"
"829-080","8""","8""",80,"8+1/4 in","9+23/32 in","9+23/32 in","9/32 in","6.55 lb","8.625 in","7.565 in","8.625 in","7.565 in"
"829-100","10""","10""",80,"10+9/32 in","12+1/16 in","12+1/16 in","1/4 in","11.76 lb","10.750 in","9.493 in","10.750 in","9.493 in"
"829-100F","10""","10""",80,"12+1/2 in","11+15/16 in","11+15/16 in","2 in","13.94 lb","10.750 in","9.493 in","10.750 in","9.493 in"
"829-120","12""","12""",80,"12+3/8 in","14+7/32 in","14+7/32 in","3/8 in","19.39 lb","12.750 in","11.294 in","12.750 in","11.294 in"
"829-120F","12""","12""",80,"14+1/4 in","14+1/8 in","14+1/8 in","1+3/4 in","21.92 lb","12.750 in","11.294 in","12.750 in","11.294 in"
"429-101","3/4""","1/2""",40,"1+25/32 in","1+5/16 in","1+3/32 in","1/8 in",".04 lb","1.050 in","0.804 in","0.840 in","0.602 in"
"429-130","1""","1/2""",40,"2+7/32 in","1+5/8 in","1+3/32 in","13/32 in",".07 lb","1.315 in","1.029 in","0.840 in","0.602 in"
"429-131","1""","3/4""",40,"2+1/8 in","1+5/8 in","1+5/16 in","1/8 in",".07 lb","1.315 in","1.029 in","1.050 in","0.804 in"
"429-166","1-1/4""","1/2""",40,"2+9/16 in","2+3/32 in","1+5/32 in","7/16 in",".13 lb","1.660 in","1.360 in","0.840 in","0.602 in"
"429-167","1-1/4""","3/4""",40,"2+19/32 in","2+3/32 in","1+5/8 in","11/32 in",".17 lb","1.660 in","1.360 in","1.050 in","0.804 in"
"429-168","1-1/4""","1""",40,"2+11/16 in","2+1/8 in","1+3/4 in","5/16 in",".17 lb","1.660 in","1.360 in","1.315 in","1.029 in"
"429-210","1-1/2""","3/4""",40,"2+13/16 in","2+11/32 in","1+13/32 in","7/16 in",".19 lb","1.900 in","1.590 in","1.050 in","0.804 in"
"429-211","1-1/2""","1""",40,"2+23/32 in","2+7/32 in","1+5/8 in","3/8 in",".13 lb","1.900 in","1.590 in","1.315 in","1.029 in"
"429-212","1-1/2""","1-1/4""",40,"2+13/16 in","2+13/32 in","2+1/8 in","5/32 in",".22 lb","1.900 in","1.590 in","1.660 in","1.360 in"
"429-247","2""","1/2""",40,"3+3/32 in","2+7/8 in","1+5/32 in","11/16 in",".30 lb","2.375 in","2.047 in","0.840 in","0.602 in"
"429-248","2""","3/4""",40,"3+7/32 in","2+7/8 in","1+13/32 in","23/32 in",".30 lb","2.375 in","2.047 in","1.050 in","0.804 in"
"429-249","2""","1""",40,"3+1/2 in","2+13/16 in","2+5/16 in","3/4 in",".41 lb","2.375 in","2.047 in","1.315 in","1.029 in"
"429-250","2""","1-1/4""",40,"3+1/16 in","2+23/32 in","1+31/32 in","17/32 in",".20 lb","2.375 in","2.047 in","1.660 in","1.360 in"
"429-251","2""","1-1/2""",40,"2+13/16 in","2+27/32 in","2+1/4 in","1/8 in",".19 lb","2.375 in","2.047 in","1.900 in","1.590 in"
"429-291","2-1/2""","1-1/2""",40,"3+3/4 in","3+1/2 in","2+3/8 in","19/32 in",".52 lb","2.875 in","2.445 in","1.900 in","1.590 in"
"429-292","2-1/2""","2""",40,"3+5/8 in","3+15/32 in","2+7/8 in","7/16 in",".48 lb","2.875 in","2.445 in","2.375 in","2.047 in"
"429-335","3""","1""",40,"4+3/16 in","4+5/32 in","2+7/8 in","1+1/4 in",".91 lb","3.500 in","3.042 in","1.315 in","1.029 in"
"429-337","3""","1-1/2""",40,"4+3/16 in","4+5/32 in","2+29/32 in","1 in",".87 lb","3.500 in","3.042 in","1.900 in","1.590 in"
"429-338","3""","2""",40,"4 in","4+5/32 in","2+7/8 in","5/8 in",".75 lb","3.500 in","3.042 in","2.375 in","2.047 in"
"429-339","3""","2-1/2""",40,"4+5/16 in","4 in","4 in","21/32 in",".95 lb","3.500 in","3.042 in","2.875 in","2.445 in"
"429-340F","3""","2-1/2""",40,"5+5/8 in","3+7/8 in","3+1/4 in","1+3/8 in",".68 lb","3.500 in","3.042 in","2.875 in","2.445 in"
"429-416","4""","3/4""",40,"5+7/32 in","5+1/32 in","2+25/32 in","2+3/16 in","1.04 lb","4.500 in","3.998 in","1.050 in","0.804 in"
"429-417","4""","1""",40,"5+1/4 in","5+1/32 in","2+25/32 in","2+5/32 in","1.04 lb","4.500 in","3.998 in","1.315 in","1.029 in"
"429-420","4""","2""",40,"5 in","5+1/32 in","2+3/4 in","1+5/8 in",".87 lb","4.500 in","3.998 in","2.375 in","2.047 in"
"429-421","4""","2-1/2""",40,"5 in","5+1/4 in","4+1/8 in","3/4 in","1.63 lb","4.500 in","3.998 in","2.875 in","2.445 in"
"429-422","4""","3""",40,"4+5/8 in","5+1/4 in","4+5/32 in","15/32 in","1.25 lb","4.500 in","3.998 in","3.500 in","3.042 in"
"429-422F","4""","3""",40,"6+1/2 in","4+15/16 in","3+15/16 in","2 in","1.04 lb","4.500 in","3.998 in","3.500 in","3.042 in"
"429-488F","5""","3""",40,"8 in","6+1/16 in","5+1/4 in","3+1/8 in","2.29 lb","5.563 in","5.016 in","3.500 in","3.042 in"
"429-490F","5""","4""",40,"7+11/16 in","6+1/16 in","5 in","2+7/16 in","1.60 lb","5.563 in","5.016 in","4.500 in","3.998 in"
"429-528F","6""","2""",40,"9+1/4 in","7+1/8 in","5+1/16 in","4+5/8 in","2.75 lb","6.625 in","6.031 in","2.375 in","2.047 in"
"429-530F","6""","3""",40,"9+3/16 in","7+1/8 in","5+1/4 in","4+1/16 in","2.89 lb","6.625 in","6.031 in","3.500 in","3.042 in"
"429-532","6""","4""",40,"6+15/32 in","7+1/4 in","5+1/32 in","1+11/32 in","2.05 lb","6.625 in","6.031 in","4.500 in","3.998 in"
"429-532F","6""","4""",40,"8+7/8 in","7+1/8 in","5 in","3+3/8 in","1.80 lb","6.625 in","6.031 in","4.500 in","3.998 in"
"429-533F","6""","5""",40,"8+5/8 in","7+1/8 in","6+1/16 in","2+3/8 in","2.50 lb","6.625 in","6.031 in","5.563 in","5.016 in"
"429-578F","8""","2""",40,"14+7/8 in","9+3/16 in","5 in","9+1/4 in","5.75 lb","8.625 in","7.942 in","2.375 in","2.047 in"
"429-580F","8""","3""",40,"14+13/16 in","9+3/16 in","5 in","8+11/16 in","5.71 lb","8.625 in","7.942 in","3.500 in","3.042 in"
"429-582","8""","4""",40,"8+7/16 in","9+11/32 in","5+1/16 in","2+11/32 in","4.02 lb","8.625 in","7.942 in","4.500 in","3.998 in"
"429-582F","8""","4""",40,"14+1/2 in","9+3/16 in","5 in","8 in","5.11 lb","8.625 in","7.942 in","4.500 in","3.998 in"
"429-583F","8""","5""",40,"14+1/4 in","9+3/16 in","6+1/16 in","7 in","5.07 lb","8.625 in","7.942 in","5.563 in","5.016 in"
"429-585","8""","6""",40,"8+13/32 in","9+11/32 in","7+9/32 in","1+11/32 in","4.07 lb","8.625 in","7.942 in","6.625 in","6.031 in"
"429-585F","8""","6""",40,"11 in","9+3/16 in","7+3/16 in","3+1/2 in","4.63 lb","8.625 in","7.942 in","6.625 in","6.031 in"
"429-621F","10""","2""",40,"17+5/8 in","11+3/8 in","5 in","11 in","8.15 lb","10.750 in","9.976 in","2.375 in","2.047 in"
"429-623F","10""","3""",40,"17+9/16 in","11+3/8 in","5 in","10+7/16 in","7.97 lb","10.750 in","9.976 in","3.500 in","3.042 in"
"429-624","10""","4""",40,"10+7/16 in","11+17/32 in","5+1/16 in","3+11/32 in","7.40 lb","10.750 in","9.976 in","4.500 in","3.998 in"
"429-624F","10""","4""",40,"17+1/4 in","11+3/8 in","5 in","9+3/4 in","7.18 lb","10.750 in","9.976 in","4.500 in","3.998 in"
"429-625F","10""","5""",40,"17 in","11+3/8 in","6+1/16 in","8+3/4 in","7.31 lb","10.750 in","9.976 in","5.563 in","5.016 in"
"429-626","10""","6""",40,"10+7/16 in","11+9/16 in","7+9/32 in","2+1/4 in","7.11 lb","10.750 in","9.976 in","6.625 in","6.031 in"
"429-626F","10""","6""",40,"13+7/8 in","11+3/8 in","7+1/4 in","5+3/8 in","6.61 lb","10.750 in","9.976 in","6.625 in","6.031 in"
"429-628","10""","8""",40,"10+7/16 in","11+5/8 in","9+3/8 in","1+3/8 in","7.07 lb","10.750 in","9.976 in","8.625 in","7.942 in"
"429-628F","10""","8""",40,"13+1/4 in","11+9/16 in","9+7/16 in","3+3/4 in","8.95 lb","10.750 in","9.976 in","8.625 in","7.942 in"
"429-661F","12""","2""",40,"24+3/8 in","13+9/16 in","5 in","16+3/4 in","19.16 lb","12.750 in","11.889 in","2.375 in","2.047 in"
"429-663F","12""","3""",40,"24+5/16 in","13+9/16 in","5 in","16+3/16 in","14.92 lb","12.750 in","11.889 in","3.500 in","3.042 in"
"429-664F","12""","4""",40,"24 in","13+9/16 in","5 in","15+1/2 in","15.20 lb","12.750 in","11.889 in","4.500 in","3.998 in"
"429-665F","12""","5""",40,"23+3/4 in","13+9/16 in","6+1/16 in","14+1/2 in","21.03 lb","12.750 in","11.889 in","5.563 in","5.016 in"
"429-666","12""","6""",40,"12+13/32 in","13+21/32 in","7+9/32 in","3+9/32 in","10.73 lb","12.750 in","11.889 in","6.625 in","6.031 in"
"429-666F","12""","6""",40,"20+1/2 in","13+9/16 in","7+1/4 in","11 in","14.23 lb","12.750 in","11.889 in","6.625 in","6.031 in"
"429-668","12""","8""",40,"12+13/32 in","13+21/32 in","9+3/8 in","2+1/4 in","10.58 lb","12.750 in","11.889 in","8.625 in","7.942 in"
"429-668F","12""","8""",40,"15+3/4 in","13+9/16 in","9+7/16 in","5+1/4 in","12.31 lb","12.750 in","11.889 in","8.625 in","7.942 in"
"429-670","12""","10""",40,"12+3/8 in","13+21/32 in","11+19/32 in","1+9/32 in","10.84 lb","12.750 in","11.889 in","10.750 in","9.976 in"
"429-670F","12""","10""",40,"15+1/8 in","13+9/16 in","11+9/16 in","3+5/8 in","13.16 lb","12.750 in","11.889 in","10.750 in","9.976 in"
"829-338","3""","2""",80,"4 in","4+5/32 in","2+7/8 in","19/32 in",".75 lb","3.500 in","2.864 in","2.375 in","1.913 in"
"829-339","3""","2-1/2""",80,"4+1/8 in","4+5/32 in","3+15/32 in","1/2 in",".77 lb","3.500 in","2.864 in","2.875 in","2.290 in"
"829-339F","3""","2-1/2""",80,"6 in","4+1/16 in","3+7/16 in","1+3/4 in",".90 lb","3.500 in","2.864 in","2.875 in","2.290 in"
"829-416","4""","3/4""",80,"5+23/32 in","5+9/32 in","2+29/32 in","2+13/32 in","1.67 lb","4.500 in","3.786 in","1.050 in","0.722 in"
"829-417","4""","1""",80,"5+15/16 in","5+9/32 in","2+29/32 in","2+17/32 in","1.71 lb","4.500 in","3.786 in","1.315 in","0.936 in"
"829-419","4""","1-1/2""",80,"5+23/32 in","5+9/32 in","2+29/32 in","2+1/16 in","1.59 lb","4.500 in","3.786 in","1.900 in","1.476 in"
"829-420","4""","2""",80,"5+1/2 in","5+9/32 in","2+7/8 in","1+25/32 in","1.45 lb","4.500 in","3.786 in","2.375 in","1.913 in"
"829-421","4""","2-1/2""",80,"4+9/16 in","5+3/16 in","3+1/2 in","17/32 in","1.25 lb","4.500 in","3.786 in","2.875 in","2.290 in"
"829-422","4""","3""",80,"4+19/32 in","5+1/4 in","4+3/16 in","15/32 in","1.25 lb","4.500 in","3.786 in","3.500 in","2.864 in"
"829-487F","5""","2-1/2""",80,"8+1/8 in","6+1/4 in","5+3/16 in","3+5/8 in","2.64 lb","5.563 in","4.768 in","2.875 in","2.290 in"
"829-488F","5""","3""",80,"7+15/16 in","6+1/4 in","5+3/16 in","2+15/16 in","3.08 lb","5.563 in","4.768 in","3.500 in","2.864 in"
"829-490F","5""","4""",80,"7+3/4 in","6+1/4 in","5+3/16 in","2+1/2 in","2.09 lb","5.563 in","4.768 in","4.500 in","3.786 in"
"829-528","6""","2""",80,"7+1/16 in","7+1/2 in","5 in","2+9/16 in","4.37 lb","6.625 in","5.709 in","2.375 in","1.913 in"
"829-529","6""","2-1/2""",80,"6+31/32 in","7+19/32 in","5+9/32 in","2+3/16 in","4.30 lb","6.625 in","5.709 in","2.875 in","2.290 in"
"829-530","6""","3""",80,"7+1/8 in","7+9/16 in","5+9/32 in","2+1/4 in","4.07 lb","6.625 in","5.709 in","3.500 in","2.864 in"
"829-530F","6""","3""",80,"9+3/16 in","7+5/16 in","5+3/16 in","3+15/16 in","3.85 lb","6.625 in","5.709 in","3.500 in","2.864 in"
"829-532","6""","4""",80,"6+5/8 in","7+5/8 in","5+5/16 in","1+7/16 in","3.28 lb","6.625 in","5.709 in","4.500 in","3.786 in"
"829-533F","6""","5""",80,"8+15/16 in","7+3/8 in","6+5/16 in","2+11/16 in","3.57 lb","6.625 in","5.709 in","5.563 in","4.768 in"
"829-579F","8""","2-1/2""",80,"15 in","9+1/2 in","5+3/16 in","8+3/4 in","8.33 lb","8.625 in","7.565 in","2.875 in","2.290 in"
"829-580F","8""","3""",80,"14+15/16 in","9+1/2 in","5+3/16 in","8+11/16 in","7.95 lb","8.625 in","7.565 in","3.500 in","2.864 in"
"829-582","8""","4""",80,"8+29/32 in","9+23/32 in","5+1/4 in","2+15/32 in","6.31 lb","8.625 in","7.565 in","4.500 in","3.786 in"
"829-582F","8""","4""",80,"14+5/8 in","9+1/2 in","5+3/16 in","8+1/8 in","8.17 lb","8.625 in","7.565 in","4.500 in","3.786 in"
"829-583F","8""","5""",80,"14+11/16 in","9+1/2 in","6+5/16 in","7+7/16 in","7.78 lb","8.625 in","7.565 in","5.563 in","4.768 in"
"829-585","8""","6""",80,"8 in","9+3/4 in","7+1/2 in","1 in","6.16 lb","8.625 in","7.565 in","6.625 in","5.709 in"
"829-621F","10""","2""",80,"21+1/2 in","11+3/4 in","5+3/16 in","14+3/4 in","16.16 lb","10.750 in","9.493 in","2.375 in","1.913 in"
"829-623F","10""","3""",80,"21+7/16 in","11+3/4 in","5+3/16 in","14+3/16 in","15.77 lb","10.750 in","9.493 in","3.500 in","2.864 in"
"829-624F","10""","4""",80,"21+1/8 in","11+3/4 in","5+3/16 in","13+5/8 in","17.13 lb","10.750 in","9.493 in","4.500 in","3.786 in"
"829-625F","10""","5""",80,"21+3/16 in","11+3/4 in","6+5/16 in","12+15/16 in","16.38 lb","10.750 in","9.493 in","5.563 in","4.768 in"
"829-626","10""","6""",80,"10+19/32 in","12+1/32 in","7+19/32 in","2+17/32 in","11.08 lb","10.750 in","9.493 in","6.625 in","5.709 in"
"829-626F","10""","6""",80,"17+1/2 in","11+3/4 in","7+1/2 in","9 in","14.72 lb","10.750 in","9.493 in","6.625 in","5.709 in"
"829-628","10""","8""",80,"10+5/8 in","12 in","9+3/4 in","1+17/32 in","11.26 lb","10.750 in","9.493 in","8.625 in","7.565 in"
"829-628F","10""","8""",80,"13+1/4 in","11+3/4 in","9+5/8 in","3+3/4 in","11.42 lb","10.750 in","9.493 in","8.625 in","7.565 in"
"829-664F","12""","4""",80,"28+3/8 in","13+15/16 in","5+3/16 in","19+7/8 in","31.70 lb","12.750 in","11.294 in","4.500 in","3.786 in"
"829-665F","12""","5""",80,"28+7/16 in","13+15/16 in","6+5/16 in","19+3/16 in","27.25 lb","12.750 in","11.294 in","5.563 in","4.768 in"
"829-666F","12""","6""",80,"24+3/4 in","13+15/16 in","7+1/2 in","15+1/4 in","26.96 lb","12.750 in","11.294 in","6.625 in","5.709 in"
"829-668","12""","8""",80,"12+5/8 in","14+7/32 in","9+3/4 in","2+7/16 in","17.92 lb","12.750 in","11.294 in","8.625 in","7.565 in"
"829-668F","12""","8""",80,"20+1/2 in","13+15/16 in","9+5/8 in","10 in","24.34 lb","12.750 in","11.294 in","8.625 in","7.565 in"
"829-670F","12""","10""",80,"16+3/8 in","13+15/16 in","11+15/16 in","4+7/8 in","18.92 lb","12.750 in","11.294 in","10.750 in","9.493 in"